Sku,Product,Cost Price,Barcode,Location,Outstanding,Receiving,Extra_8,Unnamed_2
HPMBCC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blueberry Cherry Cranberry / 20mg],2.75,-,ASTON K3-A1 WITTON TRADE B8-D1,240,,,
HPMBI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Banana Ice / 20mg],2.75,-,ASTON K3-D2 WITTON TRADE B8-D2,720,,,
HPMBLAR20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blackberry Raspberry / 20mg],2.75,-,ASTON K3-C1 WITTON TRADE B8-D3,480,,,
HPMBLUR20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blueberry Raspberry / 20mg],2.75,-,ASTON K3-C3 WITTON TRADE B8-D4,1920,,,
HPMBPO20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blueberry Pomegranate / 20mg],2.75,-,ASTON K3-G2 WITTON TRADE B12- A10,240,,,
HPMBRBC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Blackcurrant / 20mg],2.75,-,ASTON K3-J1 WITTON TRADE B8-C10,480,,,
HPMBRC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Cherry / 20mg],2.75,-,ASTON K3-E1 WITTON TRADE B8-D5,1360,,,
HPMBRGB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz GB / 20mg],2.75,-,ASTON K3-A3 WITTON TRADE B8-D6,800,,,
HPMBRL20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Lemonade / 20mg],2.75,-,ASTON K3-D1 WITTON TRADE B8-D7,640,,,
HPMBRPI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Pineapple / 20mg],2.75,-,ASTON K3-K3 WITTON TRADE B12- A11,160,,,
HPMBSR20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Sour Raspberry / 20mg],2.75,-,ASTON K3-F3 WITTON TRADE B8-D8,2240,,,
HPMCB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Cherry Berry / 20mg],2.75,-,ASTON K3-F1 WITTON TRADE B8-D9,1600,,,
,,,,,None,None,,
,SKU,Product,Cost Price,Barcode,Location,Outstanding,Receiving,
,,,,,,,,
,HPMCBC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Caribb Crush / 20mg],2.75,-,ASTON K3-G1 WITTON TRADE B8-D10,160,,
,HPMCHC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Cherry Cola / 20mg],2.75,-,ASTON K3-A2 WITTON TRADE B8-D11,160,,
,HPMFC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Fizzy Cherry / 20mg],2.75,-,ASTON K3-B2 WITTON TRADE B8-D12,1360,,
,HPMFM20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Fresh Mint / 20mg],2.75,-,ASTON K3-C2 WITTON TRADE B8-D13,2320,,
,HPMFT20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Fruit Twist / 20mg],2.75,-,ASTON K3-B1 WITTON TRADE B8-D14,640,,
,HPMHB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [H'Bubba / 20mg],2.75,-,ASTON K3-H1 WITTON TRADE B8-D15,320,,
,HPMIP20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Ice Pop / 20mg],2.75,-,ASTON K3-I1 WITTON TRADE B8-D16,120,,
,HPMJP20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Juicy Peach / 20mg],2.75,-,ASTON K3-E3 WITTON TRADE B8-D17,1040,,
,HPMLL20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Lemon Lime / 20mg],2.75,-,ASTON K3-B3 WITTON TRADE B10-D5,2560,,
,HPMMB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Mr Blue / 20mg],2.75,-,ASTON K3-D3 WITTON TRADE B10- D10,2240,,
,HPMPI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Pineapple Ice / 20mg],2.75,-,ASTON K3-G3 WITTON TRADE B10- D12,320,,
,HPMPL20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Pink Lemonade / 20mg],2.75,-,ASTON K3-F4 WITTON TRADE B12-A9,800,,
,HPMPP20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Pipeline Punch / 20mg],2.75,-,ASTON K3-K1 WITTON TRADE B10-D8,240,,
,HPMRAI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Red Apple Ice / 20mg],2.75,-,ASTON K3-K2 WITTON TRADE B10-D9,240,,
,,,,,None,None,,
,SKU,Product,Cost Price,Barcode,Location,Outstanding,Receiving,
,,,,,,,,
,HPMSCC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Strawberry Cherry Cranberry / 20mg],2.75,-,ASTON K3-E2 WITTON TRADE B10-D6,240,,
,HPMSD20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Summer Dream / 20mg],2.75,-,ASTON K3-I2 WITTON TRADE B10- D11,640,,
,HPMSK20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Strawberry Kiwi / 20mg],2.75,-,ASTON K3-H2 WITTON TRADE B10- D13,320,,
,HPMSRB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Strawberry Raspberry Blueberry / 20mg],2.75,-,ASTON K3-J3 WITTON TRADE B10-D7,1120,,
,HPMSRC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Strawberry Raspberry Cherry / 20mg],2.75,-,ASTON K3-G4 WITTON TRADE B12-A8,240,,
,HPMSRI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Strawberry Raspberry Ice / 20mg],2.75,-,ASTON K3-H3 WITTON TRADE B10- D14,1360,,
,HPMSW20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Strawberry Watermelon / 20mg],2.75,-,ASTON K3-F2 WITTON TRADE B10- C10,320,,
,HPMTM20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Triple Mango / 20mg],2.75,-,ASTON K3-I3 WITTON TRADE B10- B10,320,,
,HPMWI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Watermelon Ice / 20mg],2.75,-,ASTON K3-J2 WITTON TRADE B10- A10,400,,
