SKU,Product,Cost Price,Barcode,Location,Outstanding,Receiving
HPMBCC20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blueberry Cherry
Cranberry / 20mg]",2.75,-,"ASTON K3-A1
WITTON TRADE B8-D1",240,
HPMBI20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Banana Ice / 20mg],2.75,-,"ASTON K3-D2
WITTON TRADE B8-D2",720,
HPMBLAR20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blackberry Raspberry /
20mg]",2.75,-,"ASTON K3-C1
WITTON TRADE B8-D3",480,
HPMBLUR20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blueberry Raspberry /
20mg]",2.75,-,"ASTON K3-C3
WITTON TRADE B8-D4","1,920",
HPMBPO20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blueberry Pomegranate /
20mg]",2.75,-,"ASTON K3-G2
WITTON TRADE B12-
A10",240,
HPMBRBC20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Blackcurrant /
20mg]",2.75,-,"ASTON K3-J1
WITTON TRADE B8-C10",480,
HPMBRC20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Cherry / 20mg],2.75,-,"ASTON K3-E1
WITTON TRADE B8-D5","1,360",
HPMBRGB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz GB / 20mg],2.75,-,"ASTON K3-A3
WITTON TRADE B8-D6",800,
HPMBRL20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Lemonade /
20mg]",2.75,-,"ASTON K3-D1
WITTON TRADE B8-D7",640,
HPMBRPI20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Razz Pineapple /
20mg]",2.75,-,"ASTON K3-K3
WITTON TRADE B12-
A11",160,
HPMBSR20-PP,"Hayati Pro Max+ 6K Prefilled Replacement Pods [Blue Sour Raspberry /
20mg]",2.75,-,"ASTON K3-F3
WITTON TRADE B8-D8","2,240",
HPMCB20-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Cherry Berry / 20mg],2.75,-,"ASTON K3-F1
WITTON TRADE B8-D9","1,600",
,,,,,,
